game,tags,score,picture,introduction
使命召唤：高级战争 Call of Duty: Advanced Warfare,"冒险, 动作",7.8,https://img3.doubanio.com/lpic/s29294064.jpg,本次剧情围绕 Jonathan Irons（凯文史派西 饰）主导的私人雇佣兵军团，对抗美国的国家理念，以一切侵犯美国领土，同时又加入众多金钱交易的战场，我们将扮演私人雇佣兵，为 Irons 效力，当然作为美国的国家理念，这种剧情一定会出现逆转。 根据Sledgehammer创始人之一的Michael Condrey，《高级战争》采用了新引擎。 　　游戏设定时间为2052年及之后，Sledgehammer与诸多专家及电影编剧合作意在打造一个真实的未来世界。 　　AW中的Atlas公司其实被视为慈善集团，公司由CEO Jonathan Irons（由Kevin Spacey扮演）成立。集团经常要在灾变事件发生后第一时间突入，负责拨乱反正。在这次的剧本中，Atlas在第二次海湾战争后进入巴格达，在3年内干的城市修复工作比政府花50年干的活都要多。公司无需等待政府或议会的批准即可自由行动，也具备大量资金以快速达到目的。Irons白手起家创立Atlas，现已成为全球最大的私人武装集团，也已成为首个加入联合国安理会的公司。 玩家在游戏中扮演Private Mitchell（由Troy Baker配音），一个看似拥有普通背景的角色。 　　游戏开始之初Mitchell是一位美国海军士兵，与他的伙伴Wii Irons（Atlas CEO的儿子）共同击退了外国势力的入侵。那次战斗之后，Mitchell参与了老Irons的一项有趣的计划：离开美国海军加入Atlas，获得了一套科技感爆棚的EXO套装。除此之外，Mitchell的枪械也是未来感十足。 旧金山关卡：游戏早期，全球会受到一次类似911的灾变事件，多块大陆的主要城市都被某种的恐怖主义的共同行动而毁灭。而犯罪者正是KVA，一家资金充足的国际恐怖分子组织。其中未受影响的一块区域为旧金山，但官方政府频道的对话暗示了在军舰周任务期间可能会发生恐怖活动。Mitchell一开始在一辆军用吉普车里，靠着显示增强头盔发现了一名恐怖分子嫌犯，然后在旧金山的一场高速公路追逐战开始了。 　　底特律关卡：这一关卡注重于叙事，讲述Mitchell穿过底特律外部一个大型难民营底的故事。底特律是最初遭受KVA恐怖袭击的几个城市之一。Atlas在此建立的难民营，Mitchell乘直升飞机达到，在此会见到Atlas小队队友Gideon，他们会骑上飞行摩托车逛一下暴风雨中的底特律。 此外，《使命召唤11》中的强化外骨骼与《死亡空间》系列男主角艾萨克服装很相似，也许灵感真的来源于此。
喷射战士2 Splatoon 2,射击,9.4,https://img3.doubanio.com/lpic/s29511002.jpg,《Splatoon 2》是任天堂开发并发行的第三人称射击游戏，于2017年7月21日在任天堂Switch上推出。游戏和2015年Wii U前作《Splatoon》一样，支持4对4联机对战.
火焰之纹章回声 另一位英雄王 ファイアーエムブレム Echoes もうひとりの英雄王,策略,8.6,https://img1.doubanio.com/lpic/s29326377.jpg,"《火焰之纹章 回声 另一位英雄王》（日语：ファイアーエムブレム Echoes もうひとりの英雄王，英语：Fire Emblem Echoes: Shadows of Valentia，港台译作“圣火降魔录 回声 另一位英雄王”，官方译为“FIRE EMBLEM Echoes 另一位英雄王”）是y一款策略角色扮演游戏，由Intelligent Systems开发，任天堂发行。"
口袋妖怪 心金 ポケットモンスター ハートゴールド,"角色扮演, 策略",9.6,https://img1.doubanio.com/lpic/s28394058.jpg,《口袋妖怪 心金·魂银》（ポケットモンスター ハートゴールド&ソウルシルバー）是在1999年以Game Boy・Game Boy Color为游戏平台所发售的共通《金·银》的重制作品。游戏是角色扮演游戏系列口袋妖怪的成员，由Game Freak开发并由任天堂发售。游戏最初在日本于2009年9月12日发售，北美、澳洲和欧洲则于2010年3月发售。
质量效应3 Mass Effect 3,"射击, 角色扮演, 冒险, 动作",9.1,https://img3.doubanio.com/lpic/s9112405.jpg,《质量效应3》是科幻游戏《质量效应》系列的第三部作品，由加拿大游戏开发商BioWare制作。游戏主要以角色扮演（RPG）为主，并融合第三人称动作射击（TPS）的风格。《质量效应3》中人类故乡太阳系的母星地球危在旦夕，在一个遥远的宇宙外，一群可怕的机器种族开始了他们消灭人类的任务。指挥官的约翰·薜帕德（John·Shepard），作为联盟的一名海军陆战队员兼唯一的人类精英幽灵，将担负起拯救地球的重任，他将寻求与宇宙内的所有文明联合起来对抗这个神秘的外来种族。
超级马里奥银河2 スーパーマリオギャラクシー 2,动作,9.5,https://img3.doubanio.com/lpic/s28397843.jpg,《超级马里奥银河2》是2010年任天堂推出的《超级马里奥银河》的续作，最早于E3 2009公布，承袭前作主题与玩法，玩家将操纵马里奥跨越浩瀚的银河，在形形色色的行星关卡中冒险。游戏中加入玩家所熟悉的小恐龙耀西（Yoshi）与马里奥一同冒险，除了发挥过人的吞食能力吃掉敌人之外，还可以吃下道具变身成各种不同型态。之外也替马里奥添增了新的钻地陀螺道具，不但可以用来穿过地层进入地底，还可以穿过小行星攻击敌人。另外，除了移动的速度会增加之外，一些重要的谜题也是需要马里奥和耀西一同解开。
最终幻想8 Final Fantasy VIII,角色扮演,9.2,https://img3.doubanio.com/lpic/s27291594.jpg,《最终幻想8》（简称：FF8）是日本公司SQUARE推出的著名游戏《最终幻想》系列的第八作。《最终幻想8》以爱情为主题，围绕着男女主人公相遇、相知、相爱而展开，并以这一主线安排了复杂的人物关系和曲折动人的情节。在本作中，玩家几乎会感觉到自已不是在玩一部游戏，而是在看一部感人致深的电影，一切的一切，都让人难以忘怀。虽然《最终幻想8》是整个系列中最具争议的一部作品，却缔造了空前的销售成绩，在日本售出380万套，全球815万套。而由中国流行天后王菲演唱的主题曲EYES ON ME亦为游戏增色不少。
决战3 Kessen III,"策略, 动作",7.6,https://img1.doubanio.com/lpic/s28093098.jpg,《决战3》将会是一款全新的“动作战略（ACT+SLG）”游戏，作为该系列特征的“群体控制引擎”将会在本作中重现，让玩家可以直接操纵整个部队，即时切入战斗。本作的历史背景设定则是沿用了第一代的日本战国时代（《决战2》的设定是中国的三国时代）。制作人SHIBUSAWA表示：“第一作中可以进行两百人的战争，不过已经让人感觉到《决战》的强大实力。第二款游戏的引擎版本更加强大，从第一作的200个人提高到500人，然而销量却不及前作。本作采用了和前作同样的500个人大战，玩家可以直接用手柄操作战斗，战斗的过程已经可以直接操作了。”
任天堂明星大乱斗for WiiU 大乱闘スマッシュブラザーズ for WiiU,格斗,8.8,https://img3.doubanio.com/lpic/s28397161.jpg,『大乱闘スマッシュブラザーズ for Wii U』では、シリーズ初のHD画質に対応し美麗なグラフィックでゲームをプレイすることができる。また、解像度やハード性能の向上により巨大なステージや最大8人での大乱闘や各モードの多人数プレイを実現している。BGMについても『X』同様に複数のステージBGMが用意されている。収録BGMは400を超え、『3DS』のBGMはほぼ全て収録されている。その他、『3DS』と比較するとモードが大幅に追加されている。また、自由にステージを作成することができる。本作ではWii U GamePadを用いてステージを作成する。
真三国无双7：猛将传 真·三國無双7：猛将伝,动作,8.2,https://img3.doubanio.com/lpic/s28268445.jpg,"本作将带来焕然一新的将星模式，成功建造完铜雀台并最终召入皇帝入住，就可以解锁“地方镇压”模式。而且，现在护卫武将最多可以携带3名出行了，向他们下达指示，体验更丰富的战略型战斗吧。"
